"File","Line","Kind","Detail"
"D:\IOE-DREAM\microservices\ioedream-access-service\src\main\java\net\lab1024\sa\access\config\AccessCacheConstants.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-access-service\src\main\java\net\lab1024\sa\access\controller\AccessMonitorController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-access-service\src\main\java\net\lab1024\sa\access\strategy\impl\authentication\AbstractAuthenticationStrategy.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-attendance-service\src\main\java\net\lab1024\sa\attendance\decorator\PunchDecorator.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-attendance-service\src\main\java\net\lab1024\sa\attendance\template\AbstractAttendanceProcessTemplate.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-biometric-service\src\main\java\net\lab1024\sa\biometric\template\AbstractTemplateSyncTemplate.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\controller\DictController.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\dict\dao\DictDataDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\dict\dao\DictTypeDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\monitor\dao\NotificationDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\monitor\dao\SystemMonitorDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\notification\dao\NotificationTemplateDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-common-service\src\main\java\net\lab1024\sa\common\workflow\dao\ApprovalConfigDao.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-consume-service\src\main\java\net\lab1024\sa\consume\controller\ConsumeMobileController.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-consume-service\src\main\java\net\lab1024\sa\consume\domain\form\ConsumeOfflineSyncForm.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-consume-service\src\main\java\net\lab1024\sa\consume\service\ConsumeMobileService.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-consume-service\src\test\java\net\lab1024\sa\consume\BaseTest.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-device-comm-service\src\main\java\net\lab1024\sa\device\comm\decorator\DeviceCommandDecorator.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-device-comm-service\src\main\java\net\lab1024\sa\device\comm\protocol\AbstractProtocolAdapter.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-device-comm-service\src\main\java\net\lab1024\sa\device\comm\protocol\ezviz\VideoEzvizV20Adapter.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\manager\WorkflowEngineManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\manager\WorkflowEngineManager.java","34","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\cache\WorkflowCacheManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\cache\WorkflowCacheManager.java","35","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\FlowableExceptionHandler.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\FlowableExceptionHandler.java","43","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\FlowableInitializationProcessor.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\FlowableInitializationProcessor.java","13","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\ManagerConfiguration.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\ManagerConfiguration.java","30","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableCmmnRepositoryService.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableCmmnRepositoryService.java","23","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableCmmnRuntimeService.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableCmmnRuntimeService.java","22","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableDmnRepositoryService.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableDmnRepositoryService.java","22","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableDmnRuleService.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\config\wrapper\FlowableDmnRuleService.java","22","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\controller\WorkflowStartCompatController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\controller\WorkflowStartCompatController.java","33","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\CalculateWorkingHoursFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\CheckAreaPermissionFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\ContainsFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\FormatDateFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\IsEmptyFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\function\IsNotEmptyFunction.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
