"Resource","Line","Column","Message","Source","Code"
"/D:/IOE-DREAM/microservices/ioedream-biometric-service/src/main/java/net/lab1024/sa/biometric/config/AsyncConfiguration.java","26","1","Syntax error on token ""@"", interface expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-biometric-service/src/main/java/net/lab1024/sa/biometric/manager/BiometricTemplateManager.java","2","1","Syntax error on tokens, ClassHeader expected instead","Java","1610612973"
"/D:/IOE-DREAM/microservices/ioedream-biometric-service/src/main/java/net/lab1024/sa/biometric/service/impl/BiometricTemplateServiceImpl.java","58","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-biometric-service/src/main/java/net/lab1024/sa/biometric/service/impl/BiometricTemplateSyncServiceImpl.java","54","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-biometric-service/src/main/java/net/lab1024/sa/biometric/util/ImageProcessingUtil.java","2","1","Syntax error on tokens, ClassHeader expected instead","Java","1610612973"
"/D:/IOE-DREAM/microservices/ioedream-visitor-service/src/main/java/net/lab1024/sa/visitor/service/impl/DeviceVisitorServiceImpl.java","32","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-visitor-service/src/main/java/net/lab1024/sa/visitor/service/impl/VisitorAppointmentServiceImpl.java","52","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-visitor-service/src/main/java/net/lab1024/sa/visitor/service/impl/VisitorCheckInServiceImpl.java","48","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-visitor-service/src/main/java/net/lab1024/sa/visitor/service/impl/VisitorExportServiceImpl.java","31","2","Syntax error on token ""implements"", class expected","Java","1610612940"
"/D:/IOE-DREAM/microservices/ioedream-visitor-service/src/main/java/net/lab1024/sa/visitor/service/impl/VisitorQueryServiceImpl.java","44","2","Syntax error on token ""implements"", class expected","Java","1610612940"
