
LocalAddress  LocalPort OwningProcess
------------  --------- -------------
::                  135           968
0.0.0.0             135           968
172.31.16.1         139             4
26.26.26.1          139             4
192.168.5.115       139             4
::                  445             4
::1                3306         21620
::                 3306         21136
127.0.0.1          3456         23456
0.0.0.0            5040          1652
::1                6379         21620
::                 6379         21136
::                 7680         22724
::                 8080         18984
::                 8087         37640
::                 8088         20544
::                 8089         40016
::                 8090         40896
::                 8091         42080
::                 8092         19780
::                 8848         21136
::1                8848         21620
::1                9848         21620
::                 9848         21136
::1                9849         21620
::                 9849         21136
127.0.0.1         12434         21136
::                18087         37640
127.0.0.1         24282         24416
0.0.0.0           24284         28908
127.0.0.1         49371         25100
0.0.0.0           49664          1756
::                49664          1756
0.0.0.0           49665          1576
::                49665          1576
::                49666          2576
0.0.0.0           49666          2576
0.0.0.0           49674          3992
::                49674          3992
::                49676          5960
0.0.0.0           49676          5960
::1               49679          7320
127.0.0.1         49688          6252
127.0.0.1         49689          6252
0.0.0.0           49707          1680
::                49707          1680
127.0.0.1         51389         32988
127.0.0.1         51472         33812
127.0.0.1         51735         26016
127.0.0.1         51800         34184
127.0.0.1         52167         30252
127.0.0.1         52549          3496
127.0.0.1         52613          6656
127.0.0.1         52660          8044
127.0.0.1         52802         26752
127.0.0.1         52878         18040
127.0.0.1         52930         21836
127.0.0.1         53002         32916
127.0.0.1         53562         26012
127.0.0.1         53690         27352
127.0.0.1         55230         23660
127.0.0.1         55274         24416
127.0.0.1         55654         30380
127.0.0.1         58565          5992
127.0.0.1         58577         11848
127.0.0.1         58652         14972
127.0.0.1         58729         36296
127.0.0.1         58784         36492
127.0.0.1         58977         13612
127.0.0.1         58992         20856
127.0.0.1         59328          3468
127.0.0.1         59419         37684
127.0.0.1         59633         28540
127.0.0.1         59680         33112
127.0.0.1         59719         27684
127.0.0.1         60154         26880
127.0.0.1         60217         29516
127.0.0.1         60276         35728
127.0.0.1         60362         35592
127.0.0.1         60398         14848
127.0.0.1         62511         28992
127.0.0.1         63703          8108
127.0.0.1         63897         28952


